time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,C1,C2,C3,C4,C5,C6,Fault_class
17.2,25.101750604359,311.843968395331,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
17.4,25.1017506043631,311.843968395346,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
17.6,25.101750604366,311.843968395356,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,1,0
17.8,25.1017506043682,311.843968395364,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,1,0
18,25.1017506043699,311.84396839537,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,1,0
18.2,25.1017506043711,311.843968395374,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
18.4,25.101750604372,311.843968395377,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
18.6,25.1017506043726,311.84396839538,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
18.8,25.1017506043731,311.843968395381,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
19,25.1017506043735,311.843968395383,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
19.2,25.1017506043737,311.843968395383,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
19.4,25.1017506043739,311.843968395384,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
19.6,25.101750604374,311.843968395385,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
19.8,25.1017506043742,311.843968395385,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
20,19.7768881630775,311.843968395385,108497.103224192,1105002.89677581,0.0169942064483833,0.0100057935516167,0,0,0,0,0,0,0
20.2,19.7636072695278,311.782373659439,108497.132672101,1105002.8673279,0.0169942653442027,0.0100057346557974,0,0,0,0,0,0,0
20.4,19.7538320685172,311.737030874347,108497.134108429,1105002.86589157,0.0169942682168588,0.0100057317831411,0,0,0,0,0,0,0
20.6,19.7466368841726,311.703651925945,108497.135165658,1105002.86483434,0.0169942703313167,0.0100057296686833,0,0,0,0,0,0,0
20.8,19.7413406065074,311.679080123821,108497.135943869,1105002.86405613,0.0169942718877382,0.0100057281122618,0,0,0,0,0,0,0
21,19.7374420049587,311.660991676249,108497.136516711,1105002.86348329,0.0169942730334224,0.0100057269665776,0,0,0,0,0,0,0
21.2,19.7345721906255,311.647675929462,108497.136938388,1105002.86306161,0.0169942738767756,0.0100057261232244,0,0,0,0,0,0,0
21.4,19.7324596562113,311.637873590391,108497.137248793,1105002.86275121,0.0169942744975864,0.0100057255024136,0,0,0,0,0,0,0
21.6,19.7309045591536,311.630657634248,108497.137477291,1105002.86252271,0.0169942749545829,0.0100057250454171,0,0,0,0,0,0,0
21.8,19.72975980048,311.625345634723,108497.137645497,1105002.8623545,0.016994275290993,0.010005724709007,0,0,0,0,0,0,0
22,19.728917101631,311.621435225988,108497.137769318,1105002.86223068,0.0169942755386369,0.0100057244613632,0,0,0,0,0,0,0
22.2,19.7282967579792,311.618556593189,108497.137860469,1105002.86213953,0.0169942757209371,0.0100057242790629,0,0,0,0,0,0,0
22.4,19.7278400975543,311.616437498436,108497.137927568,1105002.86207243,0.0169942758551358,0.0100057241448642,0,0,0,0,0,0,0
22.6,19.7275039304489,311.614877534794,108497.137976963,1105002.86202304,0.0169942759539252,0.0100057240460748,0,0,0,0,0,0,0
