time,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,C1,C2,C3,C4,C5,C6,Fault_class
26.4,-0.00610632329979877,1.22673856237281e-07,2.00000508924405e-07,1.32404150239813e-05,1.32404150239352e-05,-0.182601282128508,0,0,0,0,0,0,0
26.6,-1.550075062773e-05,8.90686657683113e-07,8.93191057686037e-07,-4.19515826800257e-08,-4.19515826968342e-08,0.638812744906714,0,0,0,0,0,0,0
26.8,-0.0148137353965031,-2.25140317254219e-06,-2.07153284520356e-06,3.2145692501213e-05,3.21456925012403e-05,-2.2722745981502,0,0,0,0,0,0,0
27,-0.0143282060142276,-2.29035610572716e-08,1.58009507171588e-07,3.11397229267989e-05,3.11397229268076e-05,-1.48169682178543,0,0,0,0,0,0,0
27.2,-0.0243836847604191,-1.61914323611533e-06,-1.31613792197896e-06,5.29951898625998e-05,5.2995189862589e-05,-3.42944348502915,0,0,0,0,0,0,0
27.4,-0.0080829485225249,2.33390053045091e-06,2.44242778060648e-06,1.74316850883848e-05,1.7431685088351e-05,-0.384763538241956,0,0,0,0,0,0,0
27.6,0.00742620691492148,2.32179517153918e-06,2.23316723678131e-06,-1.64835771805029e-05,-1.64835771805084e-05,1.09884427353305,0,0,0,0,0,0,0
27.8,0.00301948085075522,-6.31296814887724e-07,-6.72624963838576e-07,-6.77485839538247e-06,-6.7748583954062e-06,-0.4895241677029,0,0,0,0,0,0,0
28,0.00611894244722533,4.89824985804752e-07,4.1289683036262e-07,-1.34963292674244e-05,-1.34963292674356e-05,0.426208779405897,0,0,0,0,0,0,0
28.2,0.0115851541635948,8.73932274081936e-07,7.28831234370225e-07,-2.54301587645268e-05,-2.54301587645427e-05,1.2900716063579,0,0,0,0,0,0,0
28.4,0.0130073154091436,2.89439953213301e-07,1.24613916327058e-07,-2.85131140824027e-05,-2.85131140823881e-05,1.38593301369363,0,0,0,0,0,0,0
28.6,0.0150812356253713,3.99127020041618e-07,2.08351208744612e-07,-3.30362652292209e-05,-3.30362652292032e-05,1.8645934203419,0,0,0,0,0,0,0
28.8,0.00800592545080054,-9.87095784684138e-07,-1.09217507433865e-06,-1.75544653390352e-05,-1.75544653390539e-05,0.761851030658853,0,0,0,0,0,0,0
29,0.00991650854385458,3.42223952049347e-07,2.17050888289137e-07,-2.17187045136047e-05,-2.17187045136454e-05,1.64874552308854,0,0,0,0,0,0,0
29.2,-0.00692875386990988,-2.50263304201984e-06,-2.42342245564058e-06,1.49596364190478e-05,1.49596364189985e-05,-1.19617630255564,0,0,0,0,0,0,0
29.4,0.000714876958154147,1.12174041986376e-06,1.11534348772383e-06,-1.6972052085382e-06,-1.69720520855002e-06,1.03488485397073,0,0,0,0,0,0,0
29.6,0.0135677342458677,1.97377772549925e-06,1.80642451432786e-06,-2.98437712836704e-05,-2.9843771283649e-05,2.68580523875096,0,0,0,0,0,0,0
29.8,0.00721114095638012,-8.89209543908159e-07,-9.84334055582141e-07,-1.58937719493582e-05,-1.58937719493283e-05,0.937037605018793,0,0,0,0,0,0,0
30,0.00494356549672622,-3.03637384594454e-07,-3.67891110511595e-07,-1.08937164039922e-05,-1.08937164039331e-05,1.0346685586451,0,0,0,0,0,0,0
